Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"Schererville, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.48,9.39,101404,0.0457,56073,0.04,3100,105,167,239,0.16914285714285712,0.549,0.26,0.568,0.752,0.06499999999999995,0.603,0.6799999999999999,0.612,0.49225,1397,C
"Stone Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.47,5.76,100629,,,0.04,3100,105,167,239,0.168,0.541,0.636,0.557,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Lockport, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.47,5.55,91533,0.3084,256407,0.04,3100,105,167,239,0.168,0.541,0.6639999999999999,0.437,0.126,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5336,1064,C
"Palos Heights, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.47,4.55,91412,0.0157,17891,0.04,3100,105,167,239,0.168,0.541,0.79,0.436,0.94,0.06499999999999995,0.603,0.6799999999999999,0.612,0.59945,592,B
"Bull Valley, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.47,7.11,105502,0.322,144411,0.04,3100,105,167,239,0.168,0.541,0.45599999999999996,0.611,0.11499999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.50015,1326,C
"Spring Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.46,12.97,98203,0.0384,17242,0.04,3100,105,167,239,0.16685714285714284,0.534,0.10199999999999998,0.524,0.791,0.06499999999999995,0.603,0.6799999999999999,0.612,0.45740000000000003,1644,C
"Melrose Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.46,5.06,96017,,,0.04,3100,105,167,239,0.16685714285714284,0.534,0.73,0.494,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Skokie, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.46,5,107967,0.0031,10000,0.04,3100,105,167,239,0.16685714285714284,0.534,0.736,0.637,1,0.06499999999999995,0.603,0.6799999999999999,0.612,0.6003,584,A
"Oak Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.45,4.5,78638,,,0.04,3100,105,167,239,0.1657142857142857,0.525,0.7969999999999999,0.261,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Northbrook, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.45,7.85,159291,0.0093,14282,0.04,3100,105,167,239,0.1657142857142857,0.525,0.384,0.946,0.979,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5425,991,B
"Calumet Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.45,4.3,73236,,,0.04,3100,105,167,239,0.1657142857142857,0.525,0.819,0.188,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Golf, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.45,6.61,134179,,,0.04,3100,105,167,239,0.1657142857142857,0.525,0.521,0.854,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Munster, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.45,6.06,76749,0.0701,97811,0.04,3100,105,167,239,0.1657142857142857,0.525,0.595,0.233,0.621,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5311499999999999,1085,C
"Romeoville, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.44,6.92,109966,0.0825,85141,0.04,3100,105,167,239,0.1645714285714286,0.514,0.481,0.663,0.569,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5250499999999999,1131,C
"Joliet, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.44,7.5,78734,0.1719,184791,0.04,3100,105,167,239,0.1645714285714286,0.514,0.41900000000000004,0.262,0.28300000000000003,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4783,1509,C
"South Holland, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.44,6.26,67419,0.0545,79881,0.04,3100,105,167,239,0.1645714285714286,0.514,0.5680000000000001,0.116,0.7050000000000001,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5218999999999999,1159,C
"Hillside, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.44,7.05,107543,,,0.04,3100,105,167,239,0.1645714285714286,0.514,0.46499999999999997,0.632,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Palos Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,4.41,92949,0.0232,17891,0.04,3100,105,167,239,0.16342857142857142,0.502,0.806,0.457,0.887,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5932499999999999,643,B
"Lansing, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,6.21,76144,0.0582,83795,0.04,3100,105,167,239,0.16342857142857142,0.502,0.5760000000000001,0.225,0.683,0.06499999999999995,0.603,0.6799999999999999,0.612,0.52545,1128,C
"Warrenville, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,5.67,129946,0.0916,96334,0.04,3100,105,167,239,0.16342857142857142,0.502,0.647,0.833,0.526,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5621999999999999,840,B
"Mount Prospect, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,7.87,104792,,,0.04,3100,105,167,239,0.16342857142857142,0.502,0.381,0.604,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Old Mill Creek, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,5.02,129672,0.1238,47661,0.04,3100,105,167,239,0.16342857142857142,0.502,0.735,0.83,0.404,0.06499999999999995,0.603,0.6799999999999999,0.612,0.57355,764,B
"Third Lake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.43,3.87,116260,0.1225,61942,0.04,3100,105,167,239,0.16342857142857142,0.502,0.858,0.722,0.41000000000000003,0.06499999999999995,0.603,0.6799999999999999,0.612,0.59305,644,B
"Elmwood Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,5.99,84864,,,0.04,3100,105,167,239,0.16228571428571428,0.492,0.603,0.346,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Naperville, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,6.37,142041,0.1373,187639,0.04,3100,105,167,239,0.16228571428571428,0.492,0.55,0.892,0.357,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5352999999999999,1045,B
"Glenview, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,6.12,133877,,,0.04,3100,105,167,239,0.16228571428571428,0.492,0.589,0.852,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Glen Ellyn, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,5.86,114020,0.0089,14281,0.04,3100,105,167,239,0.16228571428571428,0.492,0.622,0.703,0.981,0.06499999999999995,0.603,0.6799999999999999,0.612,0.57145,780,B
"Glendale Heights, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,5.82,111633,0.107,179921,0.04,3100,105,167,239,0.16228571428571428,0.492,0.63,0.68,0.46299999999999997,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5459999999999999,968,B
