Market,ST,MSA,Tier,Score,Rank,lat,lng
"Bremen, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Lovejoy, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",D,0.385,1938.0,33.749,-84.38798
"Pine Lake, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Acworth, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.26755,2281.0,34.06635,-84.67837
"Social Circle, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Forest Park, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.26975,2274.0,33.62205,-84.36909
"Aldora, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Barnesville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Milner, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Stockbridge, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.26365,2289.0,33.54428,-84.23381
"Conley, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.29875,2191.0,33.749,-84.38798
"Clermont, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Lithia Springs, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.25075,2311.0,33.794,-84.66049
"Stone Mountain, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Williamson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2061499999999999,2353.0,33.749,-84.38798
"Lilburn, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2884,2225.0,33.749,-84.38798
"Conyers, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2193999999999999,2347.0,33.66761,-84.01769
"Peachtree City, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2611,2296.0,33.39678,-84.59576
"Mableton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.24635,2320.0,33.81872,-84.58243
"Tucker, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.85455,-84.21714
"Grayson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2881500000000001,2227.0,33.749,-84.38798
"Riverdale, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2203499999999999,2346.0,33.57261,-84.41326
"Sunny Side, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Franklin, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Euharlee, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Snellville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.28145,2250.0,33.85733,-84.01991
"Nelson, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Lawrenceville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.25545,2303.0,33.95621,-83.98796
"Loganville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.23875,2328.0,33.749,-84.38798
"Monroe, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Roswell, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,34.02316,-84.36159
"Dacula, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.283,2245.0,33.749,-84.38798
"Peachtree Corners, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.28895,2224.0,33.9701,-84.22159
